product_pk,product_id,product_category_name,product_name_lenght,product_description_lenght,product_photos_qty,product_weight_g,product_length_cm,product_height_cm,product_width_cm
19410,02a3073438c0d024f60e34a05bd340c4,automotivo,51,732,1,850,41,45,11
28817,02cd69fa0c8bfb37ca444168927c1e85,automotivo,44,871,1,750,16,15,11
9799,02fb2d61da1247bf732360ea76b16240,malas_acessorios,49,824,1,850,19,51,34
9507,03078714f1e3f3758555f67ff35b4b01,utilidades_domesticas,54,153,1,600,16,16,16
22943,033c52084417b98d716d863d8bd11fba,automotivo,56,1144,1,600,30,20,20
28093,0354c6a8cb8961e29b70e564b93861fe,ferramentas_jardim,59,2407,1,400,38,10,25
29557,035a4019c8009b57768aa3c1e1ad63a3,moveis_decoracao,56,1472,3,1900,53,8,11
814,036734b5a58d5d4f46b0616ddc047ced,telefonia,58,751,5,300,17,4,12
28206,03973c875a4653e663aede2c46a957f6,automotivo,59,523,1,2550,35,20,20
5920,03b29ca1beec2e03e15a3b980c1505ed,perfumaria,43,656,3,100,18,7,11
10387,03d03978afe1dc3c70e611629e8d8fe8,esporte_lazer,35,614,1,1800,15,15,15
32462,03e931f387c2dd5b006aecdb12515b2e,cama_mesa_banho,55,560,1,650,16,10,16
30920,04008f5a086abe248a3c76bc2fa4f4e1,cama_mesa_banho,41,2201,1,1250,48,14,68
26307,040b8534cb74ddaae70c21541f449630,construcao_ferramentas_jardim,42,574,1,13100,68,25,44
20107,040f34fe061b6024771f641fe922e782,relogios_presentes,18,796,2,750,18,10,15
24335,0433830caca22b01a0f477d31307b043,portateis_casa_forno_e_cafe,47,2810,7,7450,40,10,40
12083,044f05bc9de36e8a693a83e4bc79dd0d,telefonia,59,734,4,300,17,4,12
20035,0454c95c31d75e5f86c354896a3d9814,moveis_cozinha_area_de_servico_jantar_e_jardim,44,246,1,25000,98,14,40
19291,0496f30fa502d5454825087842d7a497,brinquedos,31,182,1,250,16,19,19
13335,049ac5dce8536884a652ce73c58022ab,cama_mesa_banho,44,505,1,250,26,6,20
26249,04a4e9d8c0dc6b2b4b8e24ea78a8f318,esporte_lazer,57,723,1,500,50,12,18
27083,04a67e69edfb208f784da30294f69c5b,esporte_lazer,51,1256,1,1350,26,18,18
5175,04af9f3af5c6afc4eece909c25330934,relogios_presentes,51,475,6,200,16,2,20
4961,04c4182bda52366f3c4b8817ddbcd98e,esporte_lazer,61,604,1,250,20,12,16
23246,04c4a4b9c924494fcf82e0fba966f955,relogios_presentes,39,364,1,567,26,12,26
12001,04d70d184a7c12c93cecd9c0d8b5ad69,beleza_saude,60,918,1,150,22,3,15
25869,04df667e73ca2fab4b9a97c86466b699,relogios_presentes,34,541,1,404,22,14,17
8653,04f92f94955d380b722ed941f2e6e51c,eletroportateis,52,698,4,3125,18,30,38
14331,05019bc35fc2ed878c0c0f55346b91c6,beleza_saude,40,344,1,2550,18,16,17
17503,0521fe3eb04940304b489d0fb49a37dd,ferramentas_jardim,58,686,1,1450,90,6,18
21148,0522015abfd1094949180dee8dacbdf9,moveis_decoracao,57,314,1,400,40,15,40
7893,052413504e5295cd66ec4ced0b310062,relogios_presentes,55,570,1,165,16,10,12
25590,0526bcd59b4bbb167f8a4e93d56c0a07,automotivo,57,408,4,100,24,2,17
22059,0534940d69bf94dc61c0e722b4168235,moveis_decoracao,32,337,1,2300,45,25,20
16835,054515fd15bc1a2029f10de97ffa9120,esporte_lazer,50,799,1,150,18,18,18
24141,0546131238f7e9d6b5c24dbb5d8e3133,beleza_saude,60,3200,4,1450,34,6,24
30334,0554df77f3ed2e36e06c60eb65dc357a,beleza_saude,56,929,1,300,17,13,13
20445,056193fc88b3f131fae751356896b168,utilidades_domesticas,59,1996,1,8950,40,30,40
19908,0581c05e8e3c0d17ea0ef8904419ec00,utilidades_domesticas,59,667,1,1250,30,30,30
4172,058453fe8a9473eceee27349de3b38ac,relogios_presentes,60,517,3,750,48,16,25
23893,058b372f969b59e8c4a27e224243909c,papelaria,52,90,2,5650,20,30,20
12292,059344baebbeaa42fa9f2bbe11b1583e,construcao_ferramentas_iluminacao,55,1548,4,1400,24,15,38
15411,05af73bb3143cbc5233c1cdff4a767b5,moveis_sala,28,102,2,2700,47,6,47
30258,05d0558798a718f6f4658acd8b0e65e1,automotivo,58,314,3,1550,37,10,36
9544,05d3d52aea100aa2f887fd940991f040,beleza_saude,25,2653,2,500,16,2,11
21839,05f8865da7fa719bf5e94039cfe17c4d,beleza_saude,48,910,3,1900,47,70,11
27679,05fd551a225783b6a2b14d1e3d1a6372,automotivo,44,1131,1,250,30,11,16
18116,060109450b2f49e4d5c4fdfd3d8ebc34,utilidades_domesticas,56,497,3,450,18,8,13
12553,0602bc6086443c4e9b9e5ba88119ce08,perfumaria,32,219,1,133,21,12,19
11533,0606451146029c2f85c958b9cce49735,relogios_presentes,56,738,4,450,16,11,12
11496,060890b1af8cc031e9dde49cf544f884,automotivo,57,662,1,2900,61,8,61
15396,0609678aec06f28cd8e177550d26e73b,cama_mesa_banho,51,394,1,1400,20,30,26
31310,060c17562f97e5bb60bc0dfa4dd5b3f2,informatica_acessorios,40,675,1,150,18,6,14
18706,060cb19345d90064d1015407193c233d,automotivo,49,608,1,7150,65,10,65
16212,060f0122cdc8f25db4a0d7359fdae7b0,relogios_presentes,50,835,5,250,16,2,11
26654,0640a217fe729c5b8f61fd475f1fc22c,telefonia,60,786,5,350,17,4,12
10102,0645b477d9a79945e55ec6be1605b5a0,brinquedos,13,452,2,1200,40,28,28
5959,06731ce59716357095ed1a25850320b8,moveis_cozinha_area_de_servico_jantar_e_jardim,37,694,4,1700,100,3,60
24120,0688d52e92d927814617e26d7702df10,perfumaria,30,238,2,133,21,12,19
418,068ceaa8a3d9d385cbf53d5335f89f80,utilidades_domesticas,42,395,1,1200,27,18,23
7251,069a004edf898d16c9331bafd6ac7f46,moveis_decoracao,28,929,4,950,25,25,25
27291,06abf4be826ed1d548e8a22a3d75d912,beleza_saude,59,1811,6,5250,56,17,40
26095,06bf70b6e1d67d96308235ef350edc61,brinquedos,48,284,2,950,105,10,11
27549,06c6e01186af8b98ee1fc9e01f9471e9,informatica_acessorios,53,144,2,200,25,5,15
20294,06c950c36d589b39b34f5dc1d4a75e29,beleza_saude,53,885,4,667,30,14,16
7491,06ddfdf210c7e0259854ee543215088d,,,,,100,16,3,11
16605,06e73ddcb54620a36bfdb2e073c4dc40,fashion_bolsas_e_acessorios,48,357,5,150,16,9,11
12209,06edb72f1e0c64b14c5b79353f7abea3,cama_mesa_banho,39,161,2,350,25,8,19
13770,06f2166336faca73c644b11eaca22d06,informatica_acessorios,60,635,1,600,16,13,13
9386,06f24f9b9f5892496a4db38e42a6acc7,utilidades_domesticas,56,655,4,1050,24,32,24
7167,06f89d2b2a8b4994e56366402feacba9,consoles_games,58,1811,4,750,16,8,11
22844,0705b33fb285827a578fce4899f1b921,esporte_lazer,35,650,1,400,95,6,47
13917,0727e18d559a15ca5b2b9f76274d19ec,eletronicos,31,335,1,125,22,11,16
26054,073afdaeb2d71d4da3ce0c6935614289,cama_mesa_banho,49,385,2,900,30,10,20
20664,076743539f8476d5c8a1e4e7b62ffc26,moveis_decoracao,57,108,11,3000,40,8,35
28904,0768657d39e02ff11e1a30708e010588,telefonia_fixa,47,246,2,200,16,2,11
4100,07691def223b4568e8ecb5a5b30574b1,telefonia,58,1568,1,150,18,6,20
12626,076e4ce53c8914382e7ff3732511b17e,beleza_saude,22,363,2,633,26,9,22
2478,077599a82ee54960bc4f4c941b0d1359,beleza_saude,53,1140,3,1600,18,8,20
29738,0780ab4d63c3fa0b95d7f17f66a3444c,informatica_acessorios,59,393,1,1000,30,6,16
29072,079189201e6c6f0b0f70d118fff53fd5,beleza_saude,36,1331,2,450,20,6,13
24801,07a2b4290dce4edc619005d1a6348439,fashion_bolsas_e_acessorios,57,457,2,500,16,5,30
6505,07a949f27854f64558f8babcfec441cc,cama_mesa_banho,58,254,1,2800,40,20,40
17648,07bcd890d449e493b4ec23d05a9e40ee,esporte_lazer,34,237,3,800,30,15,20
2780,07c055536ebf10dfbb6c6db6dbfc36e5,moveis_decoracao,59,473,1,600,30,3,20
14202,07f381c65e8e66460c07781b9b1b8834,moveis_escritorio,45,1156,2,17050,63,62,24
16114,07ffc018eaf23e086370dea42c74077b,construcao_ferramentas_jardim,55,2039,5,185,21,7,14
32125,081cac4fc215928a462eb2c06a14dffe,eletrodomesticos,50,718,3,150,16,8,16
1362,0820af09ddc75b84841b1fab4da4be9b,eletrodomesticos,60,462,1,100,18,8,13
12523,083ffd30820b592e294de7ed668ff975,informatica_acessorios,49,944,3,300,23,8,19
14565,08401f48b67a852d06105725c3013eff,brinquedos,58,739,5,350,28,10,12
11025,08574b074924071f4e201e151b152b4e,ferramentas_jardim,36,450,1,9000,42,12,39
1969,086351823300e0339f6955b27998c186,cama_mesa_banho,49,189,1,3305,65,12,45
13638,08a02dac474e64a14808f8078407eff2,cama_mesa_banho,56,581,2,4850,43,15,33
18220,08a58dc963320d6073623382b9ceb920,informatica_acessorios,56,2590,5,400,17,7,13
12058,08a60a2b8d7362c5da1b6bc61f7d1191,instrumentos_musicais,57,999,10,5400,50,17,38
28065,08b2b99a87e01c87c200a459bb3f4bc7,beleza_saude,43,225,1,1100,27,9,14
2274,08bc541b873d8c1ecd4e6bdd1d287c97,automotivo,50,1145,3,500,16,5,11
27417,08bcc2d85da3a9c0e2ac1cc28b67418d,livros_tecnicos,38,3543,1,350,23,2,16
10328,08c63555bbee955cad9c6a9feab9e9d4,utilidades_domesticas,38,193,1,11350,43,35,34
15556,08eada1514424f37cd0704a5f45c1e07,relogios_presentes,58,659,2,450,21,14,14
15355,08fb1fed44ecc852b3ab9363b00d1c03,telefonia,58,734,4,350,17,4,12
26009,0900e9b18da6627157a7e47a8ac8fc08,relogios_presentes,56,179,3,200,16,2,20
13623,091af6c2d579fe0926b4fcb8db07f78e,esporte_lazer,58,920,2,2350,20,20,20
32842,092be1e8336fc404c57bd5970d056886,alimentos,53,869,1,750,16,12,15
9351,096b00d9037146606b19d614cd67ab65,beleza_saude,56,406,4,100,16,5,11
17394,097d5a4bed2be012b4e46e6f5ae0694b,beleza_saude,60,1162,1,833,16,12,18
8156,09b069a1846b0e666a398952c8ba1605,esporte_lazer,50,3129,1,350,18,8,14
3556,09b0d15a8cc9a84e7af7e0225f67dc45,moveis_decoracao,52,252,1,1400,20,20,20
3234,09c2dde20d43a2b79ec17fa25a5ad6b6,pet_shop,55,703,1,1500,50,30,33
29520,09c85a316aae843ab464c8c55d6f8b80,automotivo,25,728,1,850,25,25,25
16179,0a1ca683d91a7cb9b806f3710873bf47,perfumaria,50,1584,3,700,18,6,17
7731,0a27be3536127164b11173c57f14a2da,perfumaria,53,613,1,500,23,8,15
10888,0a4093a4af429dc0a9334300e5c13ae5,beleza_saude,56,389,1,300,16,5,15
14941,0a41699cb57f40c605d3cfdddd61673b,esporte_lazer,44,961,4,550,40,10,16
27043,0a57f7d2c983bcf8188589a5fea4a8da,relogios_presentes,33,932,1,396,18,11,14
7757,0a5ae82bab180da12f59a70b21605f92,telefonia_fixa,55,1278,1,850,16,8,16
14726,0a8b35c2fbc824f7e1015cf330e6cc3c,esporte_lazer,55,2656,1,250,16,2,11
26817,0a8f26369822d83b82d0d3e87908fbd4,informatica_acessorios,41,393,2,250,19,5,13
13177,0aabfb375647d9738ad0f7b4ea3653b1,consoles_games,49,100,4,150,16,12,12
9578,0ab20af8197d84bc8831765be67b4cc6,bebes,51,872,2,11100,38,47,44
22565,0ac2a75d9c1e9688df3a7730a4ffad14,informatica_acessorios,44,116,2,300,50,4,40
24720,0adf970bf07772b0f8c88f664e146221,ferramentas_jardim,60,2253,5,3500,32,31,11
3869,0ae10ca52e6cb8745e17c11e7c43907c,,,,,700,30,30,30
26488,0b0172eb0fd18479d29c3bc122c058c2,eletronicos,53,265,2,150,22,13,15
29592,0b0c04563408d8d1187cdbd6292a89fa,fashion_bolsas_e_acessorios,34,222,2,3400,20,50,40
16663,0b2c18d8e73e17348a011241525cb089,relogios_presentes,60,1008,8,400,16,2,20
20667,0b3de7b77f38988388362460d76d884f,beleza_saude,31,838,3,350,20,12,15
28460,0b3f6a2323c814e1b19fd44838c160ef,cama_mesa_banho,52,642,1,550,16,10,16
22247,0b6a32b32a7dc68b12e8a0e0805c44d5,relogios_presentes,50,542,1,190,16,11,12
9294,0b7142355a981ed9a8ba988a0b613dce,automotivo,57,868,2,1100,26,42,18
18227,0b814a3c8fa6dbb849df7c28c1bd6831,moveis_quarto,53,530,1,10700,93,63,11
28107,0baaa6da9c9440c4655efd0762a0edcf,,,,,300,16,2,11
388,0bb7cb61f1957f79dac582ab66ccdc1f,utilidades_domesticas,45,561,2,553,18,9,15
16773,0bb9709934061bd3316175ad24d90409,moveis_decoracao,51,1954,3,6400,80,4,55
8385,0bbb557651f08b3c732d9836de4d0bc3,market_place,41,626,1,5600,60,15,40
31719,0bbdc963004d9b2fd3427ee3c5ae3608,esporte_lazer,31,1479,3,150,23,7,12
7346,0bcc3eeca39e1064258aa1e932269894,ferramentas_jardim,57,339,2,1800,37,22,40
6222,0bdcdfb68f8b45a19fe06a348853cf4c,malas_acessorios,40,508,2,400,65,11,11
26267,0bdd9a52d192d64770e33ae559512478,relogios_presentes,55,324,5,250,16,2,20
5203,0becf258ac9a4ab1b6b3da6f0ad205fd,cama_mesa_banho,59,395,1,2000,16,10,16
3373,0bed2811f66d80c67e51d3d9a5127233,telefonia,41,689,1,100,24,2,18
3488,0bff7ada15fd3840490f79b2612db33b,papelaria,42,440,2,1775,39,22,22
5076,0c002598a0876501a172ffcea9496008,cama_mesa_banho,53,768,4,9150,50,30,40
6658,0c3256090b6cc52703b152c874827cd7,consoles_games,57,762,4,200,21,7,16
22510,0c3305267c17b542aecbc2385f5f0794,perfumaria,57,740,1,500,22,14,23
27361,0c71252f37443403376d2008034a7240,pet_shop,41,947,1,156,18,10,14
4131,0c761b0e33d708e6a3694a94ac4b82c4,beleza_saude,45,1982,1,2200,35,10,18
18148,0ca16017057f20d572b8c01fcd7c5c28,moveis_decoracao,58,1497,3,2200,105,3,70
13053,0cb9f521598f339ad6e6b41e34a1b169,telefonia,59,348,2,220,20,12,17
27677,0cbc07d4b85c30f4eb6394504185f8f5,beleza_saude,41,864,1,350,19,12,13
26086,0cd9f302c8a5b076ffa5c3567c6705fd,informatica_acessorios,22,716,2,200,36,2,28
2373,0cf3ab3383c2ae6f5750e5847c749e22,informatica_acessorios,53,1784,8,700,25,25,25
21342,0cf41187284d7f099adc8415a743ebbd,bebes,60,644,1,300,16,16,16
15546,0cf573090c66bb30ac5e53c82bdb0403,telefonia,26,108,1,128,15,8,13
13660,0d0f800ef21c01c777f2b36329584404,esporte_lazer,58,214,3,150,20,25,25
30873,0d2c4e029804235bd546d1f771049ef3,cama_mesa_banho,51,901,1,975,34,5,26
27953,0d85c435fd60b277ffb9e9b0f88f927a,informatica_acessorios,60,919,1,150,16,13,14
19216,0d86ff0b639e969a11a7b3dce67e181c,cama_mesa_banho,55,486,1,1850,40,5,30
1995,0d90fced28b749fa0468818d98cb8212,beleza_saude,42,534,1,983,41,23,35
26841,0da9ffd92214425d880de3f94e74ce39,construcao_ferramentas_construcao,33,449,3,10900,39,12,42
9903,0db0a25da8420d8e6d918b552c3c4891,telefonia,33,145,1,100,20,20,20
26788,0db4869ac8a908414823d44d742f5ba3,moveis_escritorio,47,1158,1,17000,63,58,24
9503,0db608cb372db7e5f00b9f8c572b6ff6,cool_stuff,59,2067,1,2300,33,44,19
20058,0dce093fc7ec4dec214256df878e3c08,relogios_presentes,57,1049,3,200,16,6,11
26678,0de1e69dff6f40f9f71be7034a8bb8d2,perfumaria,42,388,1,579,21,13,17
14445,0e0be1b2859d8645f40d55e1dd855781,bebes,54,160,4,467,24,21,22
23227,0e11633dd5ea3089303dd9a9f226d5a8,alimentos,42,84,1,1500,30,30,30
23280,0e173417855ce91518a2e79d760f93a9,beleza_saude,57,1276,1,1200,16,30,16
20021,0e2c6b2fc22b192f824a68a0fa537aa0,esporte_lazer,55,525,1,1400,31,36,31
22721,0e2d365a247d105fefc31b17ab8706d9,perfumaria,35,503,1,430,21,11,17
19968,0e362037e5f02f62c8ce89f49cb9d520,perfumaria,53,666,2,133,20,10,16
252,0e40b1ed4cfd3da1962ec91913e54ba8,eletronicos,52,424,1,175,22,11,15
27644,0e5955fbbb16c3f92127ac470386ea88,informatica_acessorios,21,173,1,1217,21,15,11
23997,0e87ff05afa3ddd73b7920ff4587e0a4,cool_stuff,48,2067,1,1650,33,44,19
14478,0e8c1dc0559f4a9a4a9066dc8c56755c,utilidades_domesticas,60,817,1,50,16,29,11
24439,0e95d6eef2bedaf4ecf3c33f78199059,cama_mesa_banho,56,336,1,1250,50,20,35
7285,0eb5d1d033dcdd7b9b11658ce84ee8e9,pet_shop,54,350,1,350,16,4,11
1909,0eb5e2c967974b4a88f060ae6610788e,pet_shop,56,839,15,1600,33,30,44
605,0eb8e03d4ef83152c4642b606b5bbdec,moveis_decoracao,47,348,1,2900,40,10,35
15128,0ec96e6d31a1493b0475805c9ae1a0a2,moveis_decoracao,48,409,4,1450,24,18,18
28169,0ecade74f3c3fb56a9256d425e7d535c,informatica_acessorios,32,1074,2,300,41,2,29
5850,0ef56954a7f2e8c36b83dadad90b9cc9,bebes,46,493,2,350,50,5,35
22139,0ef8c1b31d81d6b4453f70a61321f73e,pet_shop,63,1451,3,8350,50,20,40
7473,0efb0a47500c44e05a5930cae12307d4,malas_acessorios,53,956,1,18400,53,77,33
3340,0f0c4960b05d6145bbb4b348423503ef,eletronicos,32,139,3,1700,32,5,26
20777,0f2720a22895fc23480cb778e022a50d,bebes,42,1027,1,16300,44,70,32
21951,0f2fd0a589cb7849c1dbedbd4109c2f8,beleza_saude,46,509,1,870,19,17,15
11655,0f3288619c16188d156acc3ba91f36ab,esporte_lazer,55,266,5,300,20,15,15
19835,0f3777229e40207d248acfd6e1f716b6,esporte_lazer,64,640,2,30000,42,105,47
22954,0f398da178a64533d9576940656d23cb,cama_mesa_banho,55,382,1,2600,47,21,41
7537,0f39dd7b84f0532254c167aa5ad6bbca,beleza_saude,55,1125,1,333,21,9,21
10751,0f91b6a95a57a43203a9b17de98960d9,beleza_saude,23,274,1,390,19,12,17
2886,0f96cb6fd0ba832f2d7a21d13b251526,informatica_acessorios,49,1245,1,2200,18,25,18
11446,0fa8853b873ba06e7d27385fbb1411ca,moveis_escritorio,52,1501,4,16250,57,55,22
19130,0faf79119af5cb143f82d98d27d9c5e3,moveis_escritorio,59,1068,1,7133,52,52,17
14228,0fc6914383c2bea767a9562c9d8b43a1,informatica_acessorios,52,644,4,338,32,6,36
27257,0fce35c0b7338bda3e52e2389f0c0762,moveis_decoracao,61,157,9,3450,41,15,25
13229,0fdfe56a4dfd7aab5a321fe89f7fc63d,cama_mesa_banho,54,190,1,1350,35,15,25
7256,0ff3339eba4028a9dc569a61229c465a,informatica_acessorios,50,801,5,100,16,4,14
11415,100e8441d08795468a34832962d2eaf6,moveis_decoracao,63,200,4,950,20,5,20
16332,10244e4307f7a1575e022f248b51402a,cama_mesa_banho,53,105,1,1400,30,10,20
9117,10335f29114548c89998eb43398f58e5,relogios_presentes,59,718,5,250,16,2,11
22123,103aed057190376889bc9e796affa24e,bebes,34,1355,4,332,16,16,15
11973,104b9503ee57d0aa2cd3a6448f242636,construcao_ferramentas_jardim,35,717,1,3567,24,24,21
19921,10717ff440b2320081989126e858b220,cama_mesa_banho,52,263,1,4867,70,16,50
5439,107bf5aa8cee35a9fec5e0bf1fd5e1cd,sinalizacao_e_seguranca,15,224,1,150,31,12,21
14918,108952e9e1c5cbd3f2b29ec2893c33da,moveis_decoracao,63,246,7,900,28,11,47
29362,108dbde571d17eee3c21fa2492e8921b,beleza_saude,55,1200,1,900,18,12,18
30259,1095f63b46911593e051ed9a0d31fe87,fashion_bolsas_e_acessorios,45,887,6,50,18,18,12
29300,10adb53d8faa890ca7c2f0cbcb68d777,cama_mesa_banho,52,155,1,200,16,10,16
1733,10b930e4c15b5f8e6b7c8c7e17ac776b,consoles_games,37,360,2,450,19,15,15
9554,10be5827cbcb06a81f220d46dafd0af0,beleza_saude,54,1281,1,375,16,3,11
22614,10cdbbacd25110d10f8cbe925ea7853f,moveis_decoracao,41,1191,1,8975,57,57,22
16611,10d2b7a176cd8a35bcae7c15e0e7626e,esporte_lazer,58,1033,5,750,16,10,11
2936,10d9c039b5dcb3b2a4a4fd507fd187a0,cama_mesa_banho,52,127,2,900,50,5,50
7611,11059273f4bc1a293777e98c89807c62,beleza_saude,43,1565,1,1050,22,15,17
31494,1107055c5c960ef6e183e781260aeafd,telefonia,59,752,6,300,17,4,12
25570,111d0b1e69f349615615113cf6b275fa,esporte_lazer,48,350,3,750,50,15,15
26470,11250b0d4b709fee92441c5f34122aed,agro_industria_e_comercio,28,388,2,3000,30,30,20
7604,1127c7ede26c4c4d41eb80848d0bdb32,moveis_decoracao,48,525,1,1550,30,30,30
30837,1136bf18450b05b755f50b49657c1943,eletronicos,53,265,2,133,17,9,14
12545,113f80f12c8892f0c59206f70b862b40,cama_mesa_banho,52,170,1,250,16,10,16
27830,11566035935b80d02a0c8a261546610b,beleza_saude,46,1322,1,367,16,20,16
18593,115e606ac8059e4cfa1c6c3310fb365c,informatica_acessorios,57,1525,4,285,17,10,13
29481,1162c818d0d0f9f4887164cd636bd760,utilidades_domesticas,55,1776,2,1150,50,10,35
15397,1166bc797ddf5fb009c376d133f61204,utilidades_domesticas,55,65,3,1100,36,20,20
21347,1176fc831c22bd69f919a091f888fd65,moveis_escritorio,37,487,1,2200,50,8,32
7672,11875b30b49585209e608f40e8082e65,esporte_lazer,26,1465,1,1032,17,15,16
24653,11b062c710beb867b4897ff2728e828d,moveis_cozinha_area_de_servico_jantar_e_jardim,50,445,1,1000,34,25,25
19777,11bbef4e2a44601d9dd471aa1fb433e6,beleza_saude,52,1222,2,838,28,14,21
3775,11c3ff6555092bf425ea842a023a7809,cool_stuff,46,507,1,1650,23,68,25
24392,11dcc970f7a5581e1bf777b6da3f7096,utilidades_domesticas,42,659,2,1038,41,22,28
29570,11ea7ef0494533fd1015c7140874cf0e,utilidades_domesticas,55,2660,1,850,43,5,24
18910,11fd9d7ba552e1d28872e008acf1e050,cool_stuff,31,1194,3,10225,19,11,11
31189,12087840651e83b48206b82c213b76fd,esporte_lazer,27,521,1,1813,30,13,28
18169,120fa011365fc39efe382cba4e50999e,cama_mesa_banho,60,234,1,2050,34,8,32
12184,124ce940a0950f162eecf1c7f3db5a53,instrumentos_musicais,57,433,1,200,16,9,11
24391,1261bcae25b0000829246aa58e284a2f,brinquedos,53,885,3,1500,48,27,18
32043,126789406f4159e6f8ceb1910c164fe9,esporte_lazer,59,777,3,800,30,15,25
17511,127c0cde3ea832c4c4901159cf902d0e,informatica_acessorios,59,3723,1,750,16,9,12
24657,12803e6c48756086227e39a8a2d2026b,cool_stuff,37,1794,3,12000,24,25,31
7435,129de02d0ac6adf4f77c41bc157adbeb,automotivo,55,2527,2,250,20,4,16
24253,12a3dba07d03c2dedf0c40d6499b55d3,moveis_decoracao,59,87,2,6900,74,13,52
5696,12acdab5736a2cbddfce65059918826c,livros_interesse_geral,43,791,2,425,19,12,14
17390,12bc892d6fff0dc42c8177f3665ef00e,beleza_saude,56,3847,10,100,28,13,12
3247,12e479f1c2c0417147a3e36302485e30,relogios_presentes,46,629,1,400,24,8,12
4316,12f066474dfa3c415c169051c5e1967e,telefonia,60,749,3,200,22,8,15
22622,130482add9fd75ccb6c57ba007694a2d,informatica_acessorios,55,60,1,2800,40,15,40
