pay_pk,order_id,payment_sequential,payment_type,payment_installments,payment_value
65,03c7acb8cfb3a3567a70fee4a1e2f82d,1,boleto,1,195.63
66,03d842e44ef7cae41da34acb402983fa,1,credit_card,2,103.12
67,03e707d64a286c3fbad59b8c89cafd95,1,boleto,1,144.54
68,03e94224875e6dec154cc7a142ce5de2,1,credit_card,3,282.41
69,03ebfa9712b7dbc7031291856263b314,1,boleto,1,55.78
70,03f2794ace8d10c0af8614f6fac2be3e,1,voucher,1,108.19
71,03f83b59e7c7355647462745b18119f1,1,boleto,1,27.6
72,03ffce741877a000ca0fb3520673d4c4,1,credit_card,10,818.12
73,04040ee654b248cdc512a68ecc83e4cc,1,credit_card,8,275.19
74,0417dce62cd5791d3d0005ca971b2ba7,1,boleto,1,47.03
75,0420dbc50fc554e303e4b2d6b39063f6,2,voucher,1,193.73
76,0420dbc50fc554e303e4b2d6b39063f6,1,credit_card,4,48.61
77,04323742e042716e4427a5b3536ea08f,1,credit_card,1,52.76
78,0435b65bfd0a1cd1c48a82f5b405ea78,1,credit_card,4,154.14
79,0438fc3e115633e11a93c878a1591016,1,credit_card,3,264.22
80,044d94a4ac73b24fe28ff5293ac35bd8,1,credit_card,5,65.53
81,0452092bf08cf43ddab32ebec9e75d2d,1,boleto,1,50.3
82,045c9852284420b9c02d156436e1481c,1,credit_card,1,55.13
83,04a59fe46fc5aa341da5378c195ed53c,1,credit_card,1,75.18
84,04b7738ad5fbb213eeb7a2145bea8242,1,boleto,1,392.89
85,04d9462386313112744bfe028575d10f,1,credit_card,7,415.44
86,04dd5aa087f6b04e0e145fb4c4fef047,1,credit_card,3,417.02
87,04e452498b75f049f617f5ed7ffc0633,1,credit_card,7,233.92
88,051fcda88d997d3ff86012da2a556342,1,credit_card,4,51.7
89,0524a4740833e4c479484d6fd2735725,1,credit_card,2,158.01
90,05387d537bd2e5027aadbfb6a5123e4b,1,credit_card,1,43.78
91,053fdca16d1f69bd52f908f070a19049,1,credit_card,3,69.71
92,055336f2daf168319875b812d23de1d4,1,credit_card,2,378.2
93,05580ea6005bac590a3f143473c9b296,1,credit_card,4,211.72
94,056793ca2483a5d5943cb5bd90f5b314,1,boleto,1,39.46
95,0571cdb407bf04b419c94ffd7acbd874,1,boleto,1,22.55
96,0577713eb945f355426be26104c26b77,1,credit_card,1,97.2
97,059c0bd12954b4e72327c0ff67d9f2e8,1,credit_card,8,158.45
98,05a71c571d4602a72418b73366543cd9,1,credit_card,2,107.78
99,05ae7d6bd78e2a61f4c0076a9d690aa8,1,credit_card,1,235.83
100,05b2ebbb3869fd116a0a1c247ba70d00,1,credit_card,1,33.75
101,05c1808ab7242e387b4947245e0c0649,1,credit_card,6,63.52
102,05d27719c66597da0628a53f6009ed67,1,credit_card,5,254.76
103,05d61bb749461f4805dbda51f767fa47,1,credit_card,18,1220
104,05e6501cdfbd86fe9a3a788c3d411091,2,credit_card,4,44.28
105,05e6501cdfbd86fe9a3a788c3d411091,1,credit_card,4,44.27
106,05fdfff95f5ea9ee431961288fce4e0c,1,credit_card,1,158.52
107,062b1b23a7928be5abeb406e5889e08e,1,boleto,1,508.38
108,062d3e3b803bd3e569cf8c165602f8f4,1,credit_card,3,186.1
109,06450a9849cb4a8c2f3bbeba9995b64f,1,credit_card,3,335.48
110,06486b73d8d1705c15e0d13f6adcbf84,1,boleto,1,63.78
111,06499dd792313ae78e92e4819ffceff9,1,credit_card,1,98.66
112,064e219a982901ccffc2d33432b77a2c,1,credit_card,2,149.03
113,065a7d9057589f809082e012f696cb5d,1,credit_card,7,73.97
114,06661c686ea79767c8ab8b8ffa3e62fd,1,credit_card,4,53.27
115,068027bd6fbd44e949cfb70acad89b55,1,credit_card,8,188.45
116,06875ab72c5b9bb2eb303a70031bfeb0,2,voucher,1,22.68
117,06875ab72c5b9bb2eb303a70031bfeb0,3,voucher,1,22.68
118,06875ab72c5b9bb2eb303a70031bfeb0,1,credit_card,1,2.32
119,06a6627d9cc91a04e9d146bf65fee0a2,1,credit_card,1,113.62
120,06ad94997dd34a7c2186b82d8e9be6a5,1,boleto,1,76.76
121,06ae7271902bbb087fc093137fee6e81,1,boleto,1,96.8
122,06aea78197dd41a649372acb8dbc33fb,1,credit_card,1,45.93
123,06bad3a130e91f7b26791dba22abc0f5,1,credit_card,8,182.63
124,06bafdd8b6d0b5befb44337a7674a1ec,1,credit_card,1,91.05
125,06c8b01414c769ebb36a9cd0fdb97baf,1,credit_card,1,89.27
126,06ca213ef85421d96ee0fe529d0f5885,1,credit_card,3,61.11
127,06d68cf3fe78e8d27c1047fe0346abc4,1,boleto,1,69.84
128,06d6b5a626ba890f56dae296e1384f75,1,credit_card,5,165.8
129,06d8cb692ed19b092adaaf5337d01a39,1,credit_card,2,227.6
130,06de165212eea16e848d38f4392d5c11,2,voucher,1,21.88
131,06de165212eea16e848d38f4392d5c11,1,voucher,1,13.12
132,06ed17679c8b0ff15675069ab6217783,1,credit_card,5,177.44
133,06f3401b97e4d89032cbd5ac7670247c,1,credit_card,3,171.62
134,06f4b63a078dd3d2ca46e379c2ab419e,1,credit_card,2,58.17
135,06ff862a85c2402aa52dc9edf150bf30,1,boleto,1,59.53
136,070b4a621a6d06dcff9122e5c04b353a,1,credit_card,4,242.33
137,0711b9c575a5235790c3f863179c3267,1,boleto,1,460.47
138,07182ece031138fc6c7f81b60b1eb329,1,credit_card,2,58.24
139,071cf21dda000c6ce3b50a56374b1b89,1,credit_card,4,210.18
140,0744ce655e97e70eb03a99cf52385502,1,boleto,1,86.15
141,074d6aba62abd52ad27529d3fb746260,1,credit_card,1,111.81
142,0755fe651d86dd2feb3c6fff952d81e8,1,credit_card,3,149
143,075d1d2a3ac6d55e925dda5e2ad0c6fe,1,credit_card,3,179.92
144,0760a852e4e9d89eb77bf631eaaf1c84,1,boleto,1,50.35
145,0786c4c0e6cac26fe4f5c558b232e392,1,credit_card,2,78.06
146,078e048ccc8dc8b449dedc064b860b0f,1,credit_card,2,74.03
147,07a0bc58f3b841724c5b8c649da441d5,1,credit_card,10,166.35
148,07ad2a87dfce684f0b6a23886db925c9,1,boleto,1,73.04
149,07c33a9470d0df2a30cc8a8ebd0288d1,1,boleto,1,95.2
150,07f2e5679e13d0e45de9da85bb833558,1,credit_card,1,31.33
151,07fbc4f433fc8754c492bc6dfb0b1c52,1,credit_card,1,116.13
152,0807ef98d4c6786b58238e6dfb2d2a9c,1,boleto,1,61
153,082c7986084072affce4f8c0a20a39df,1,boleto,1,55.27
154,082d1a4833001c9e4d9a97109ea180d6,1,credit_card,2,264.67
155,084051935208c688c8cd5fae3d15810d,1,voucher,1,62.68
156,085bc46be56c7b3c4d5d805843d02e5e,1,boleto,1,46.01
157,08652363092b158440e2422e7c3ccaf4,1,credit_card,1,82.59
158,086f617d66181efa193629791e0a9076,1,credit_card,1,111.65
159,0870ee292ce510fc7bf1ccd86a6d28c7,1,credit_card,8,84.05
160,08763574782690116475ea62ffdecadb,1,credit_card,2,85.24
161,0899b756a6357ed330e0620ad548d70d,1,credit_card,10,127.63
162,08a14ebab7440e5f7bfd8ca0b37fc613,1,credit_card,8,81.91
163,08acb70a4f06f300068802d8776fefaa,1,credit_card,1,55.27
164,08adcddad19d3acf37d1fa01cb9ded1e,1,credit_card,6,166.09
165,08b57d9de8bb87cfd045a7bc735ba831,1,credit_card,10,793.27
166,08bdbdeaf1626720051193300f93806e,2,voucher,1,199.44
167,08bdbdeaf1626720051193300f93806e,1,credit_card,3,273.68
168,08cef746691fa27e23fe2c32a02c0e21,1,debit_card,1,381.88
169,08d55c0e173bdfa5770a50a253b1810f,1,credit_card,6,131.02
170,08d70627d548cd883ac394cc5da92d87,2,voucher,1,52.59
171,08d70627d548cd883ac394cc5da92d87,1,credit_card,1,2
172,08dfcccb31a3a2b6f527d245ebd3310b,1,credit_card,2,137.53
173,09045ce363fa81cd9f206c86b989e2ba,1,credit_card,10,106.11
174,0904fb2c91a18099a0b7315f1ac9501b,1,boleto,1,406.23
175,090df55d4945ec96f88731875465407d,1,credit_card,4,73.34
176,0911316604300fefa8aef39f81380c66,1,voucher,1,35.84
177,0917636d789ce3b3eac37895935af5c2,1,credit_card,1,85.14
178,0919371859b3150228068cde3b07c122,1,credit_card,3,148.71
179,09575d6ffa589cae127ff0e6c1b974ed,1,credit_card,1,33.56
180,0957ed870116e596b800540427c61497,1,credit_card,4,157.99
181,0966b61e30c4a07edbd7523f59b3f3e4,1,credit_card,5,274.11
182,096b267153128e0d7f9e593bba803956,1,boleto,1,85.18
183,097b96a18f0058373d0f5e3041a27f0a,1,boleto,1,74.63
184,098252064bc68acd5911a587b58b2cc4,1,credit_card,1,86.14
185,09903fb2d8388ac463b7c269c099b6cb,1,credit_card,1,31.35
186,09b8c1e504ab1fce7031c710bd8558d6,1,credit_card,3,77.72
187,09badf53476a6bda72b4728e858a3433,1,credit_card,1,31.75
188,09bb35a3939c3181b4a5619cb3918976,1,credit_card,2,116.94
189,09d3f9f1be63c067456cc619076685a1,1,credit_card,1,63.86
190,09de1c09553be98d80e730e53641c515,1,credit_card,10,310.21
191,09f58c00f941827ab206de7796785e44,1,boleto,1,17.62
192,09ff646bb8e18894b907e5b76f5fca59,1,credit_card,2,64.51
193,0a0ae1b561eab534493c5588efc5169c,1,boleto,1,325.93
194,0a0e7f9881dffec612b28e2682242574,1,boleto,1,169.49
195,0a18d00cb652fc5698d4e3c3e01e7da0,1,credit_card,5,99.34
196,0a4a2fccb27bd83a892fa503987a595b,1,credit_card,5,63.34
197,0a53864d69001a165085a6488ab75469,1,credit_card,3,256.09
198,0a671900301b8fcb176e26d685aa7fb2,1,boleto,1,73.62
199,0a7af36dc9b46e0920a68a9e2ee2198e,1,boleto,1,98.56
200,0a7d898c6305101e69e9f5a05cd0130d,2,credit_card,5,215.47
201,0a84fbd88ba3278bbb66308e79b2f416,1,credit_card,4,414.18
202,0aa6d207e7ba004eef415715c25765ce,1,credit_card,2,118.48
203,0ab63e307694f40a88a0ecd358c0939d,1,boleto,1,163.13
204,0ab8d66a698afcb3665ba9be03cedc6d,1,credit_card,1,101.73
205,0ab93232e2390bb66ff047c39fd91077,1,boleto,1,76.85
206,0ac372f92fbec55ca27ef4fa99a6a13a,1,credit_card,1,23.1
207,0ac645ddb846d1373321decb39c9956f,1,credit_card,1,134.66
208,0acdae809654a2de1235d18a12cf73f3,1,debit_card,1,66.07
209,0acfe927eda045512670dbbf763b330a,1,credit_card,10,114.79
210,0ad3fdda3076a1be91b13c89f2049266,1,credit_card,5,207.62
211,0adf4c5c9a1399ceefdb7ba880df1ca7,1,credit_card,2,145.01
212,0ae7144116fa718b3bb90cd8d855713a,1,boleto,1,133.02
213,0aea558128f1a96bd223babc4dc79bd3,1,credit_card,1,50.74
214,0af28d87520565eb3b57c9b2abe1a2cc,1,credit_card,4,3126.5
215,0b0334d5ad01e008caafb19973bf1acb,1,credit_card,1,238.14
216,0b0f3c7a9bcb6ad1fccab28f9240da6f,1,credit_card,1,96.47
217,0b192907ec8563bda5210247497aa9af,1,credit_card,6,66.89
218,0b24d5a62da084e9c66959aff6328dbc,1,credit_card,1,80.1
219,0b339dee90210409b715a9f2b6af29a7,1,credit_card,10,1166.43
220,0b3b5e521f3ad8a57d4c4bcdc034446c,1,credit_card,10,299.24
221,0b4129a3415a486e4965d618f9b5debf,1,credit_card,10,126.11
222,0b4aab4ef70208498663141571f68116,1,credit_card,1,109.08
223,0b50bea7ba1e8ba7a21b01b7c9d1350b,1,credit_card,2,74.28
224,0b584b729bdfec204ec2aa5d21d6ca56,1,boleto,1,78.22
225,0b7260709eb6a2884329b5ec9ef2b2a6,1,credit_card,1,32.29
226,0b9b1c5bbb14862e0e96660280048b04,1,credit_card,1,16.38
227,0b9e3cb461332c63fffd742e522832a1,1,credit_card,3,161.62
228,0ba1dfa80ede726f98e36af9a418e437,1,credit_card,6,90.44
229,0ba2b0331265d38d1c6670ed6c749732,1,credit_card,3,218.11
230,0bb0dd89956cc5f44ff556c2189e7160,1,boleto,1,54
231,0bc4a984d79279c843421830f595273c,1,credit_card,7,85.52
232,0bcb914e60bb0de6160699483722bc0d,1,credit_card,1,54.76
233,0bd742b9af9192bb314ed381e518eb50,1,credit_card,1,80.51
234,0be284f82e07ecf4a437f85b82ba09cf,1,boleto,1,115.77
235,0bf1392e4d1b5bb968191f48c30e5628,1,credit_card,3,129.79
236,0c00bf3feaaced2a198154419c788fc5,1,credit_card,3,260.08
237,0c0200c8b683dcbc6138639044bb781d,1,boleto,1,284.9
238,0c0c2969d3adf4fffa3753dcc37f135d,1,credit_card,3,45.28
239,0c228d925a49aa5e3b35febb948f4f72,1,credit_card,2,161.01
240,0c33ff1cd479e404710b74a6077f6248,1,credit_card,1,27.77
241,0c40dfe4127461031cfea37fb4c63856,1,credit_card,8,169.51
242,0c5cdf9ab91788bffa3d0f7e8ce4b213,1,credit_card,1,51.34
243,0c6a968e3824f733a18b9c40b2620865,1,credit_card,1,45.13
244,0c6b011f8a4f87010c23995f5807d152,1,credit_card,6,66.02
245,0c91c4102d1858f4ced29970f55e54a0,1,credit_card,2,56.86
246,0ca4b3b797fddd6288abcd726e5669e3,1,credit_card,4,60.05
247,0cb25b24a27e27dd18273360995e99f4,1,credit_card,2,27.3
248,0cce1e1470bc8d35d6a2bebb6991bc1b,1,credit_card,2,54.18
249,0cd631e2d8ce9cf21c9ebe5b44f3a8c2,1,credit_card,1,78.71
250,0cedb7b34000334cf6a9e407fcaa5203,1,credit_card,4,241.65
251,0cee2d1291e4f4af44e64ffa455e15de,1,boleto,1,53.27
252,0d09617395364c88c4ad7c457b439314,1,credit_card,3,143.9
253,0d0aa4989e49d1acbc9d973bf923b77c,1,credit_card,1,76.11
254,0d13e311818a800d01cd46fb35dd3c27,1,credit_card,7,166.7
255,0d17a5f9272e9cf9e9883f404fc61edf,1,credit_card,4,48.87
256,0d23d5f95886d46d2deaee6f7282316a,1,boleto,1,21.71
257,0d25f1b15acb59ceff22667265743132,1,credit_card,10,374.15
258,0d2ab5712ce82b9059da04a32ded871c,1,credit_card,4,143.83
259,0d3528428e45b7c383b746222c715332,1,boleto,1,83.22
260,0d387b5d8e636190398548a221d4185d,1,credit_card,2,204.17
261,0d4628fecf8a76472ac1da3ebef92072,1,credit_card,2,316.19
262,0d5cbb8e4c1c7a7fc26899126197a6b9,1,credit_card,2,155.29
263,0d6adc89d2a26a9691f972daeb40f165,1,credit_card,1,68.55
264,0d77e9b5b271b221b5d181c38276769e,1,credit_card,1,104.66
265,0d7839b143597f84b086c444ef9ebbe4,1,boleto,1,108.42
266,0d91fd5b8475f8f0576a6e8f90c6497d,1,credit_card,3,2036.04
267,0d92f9c47e96d946ca421dd3ea531b2a,1,credit_card,4,245.22
268,0dab99a238b965b106fea183eccaee3b,1,credit_card,2,103.37
269,0dad6beca7ed0e352668498c29089900,1,credit_card,6,110.89
270,0daf1f0e67b534ad873ba61c5d6ad7d3,1,credit_card,5,153.2
271,0dbcaa88e213607d3795e96eda505c73,1,credit_card,5,56.87
272,0ddc19990b82039355525481533ea7eb,1,credit_card,2,194.28
273,0ddd8dbe3b0d08b247e46ff98c1b5f45,1,boleto,1,33.19
274,0df706c2c6b700754129d98ffef2b669,1,credit_card,3,142.19
275,0e259b373316a562c9e71cd725ce1120,1,credit_card,6,77.21
276,0e2f2a11ed7233e538469471930a7ed7,1,credit_card,5,57.83
277,0e31f844aae10fe7dc2369bc0340bf21,1,credit_card,5,104.37
278,0e3e431534069e8ac235c637dfb199d8,1,boleto,1,176.59
279,0e3fb5621c179dff735c7494afef624f,1,credit_card,6,146.35
280,0e44c0c94c728c1ff7a501f705dd0e24,1,credit_card,5,122.98
281,0e5120f3452260c976eae23edd2d5a0a,1,boleto,1,56.64
282,0e748699edd544eb244d173a5658b7a8,1,boleto,1,133.24
283,0e782c3705510e717d28907746cbda82,1,credit_card,1,37.38
284,0e790632306835c4529ff1b46c135910,1,credit_card,4,42.53
285,0e7ad202878ea453373e3ef15835ea33,1,credit_card,1,55.69
286,0e91a45e000263f1a4d58c5ecb5a52d7,1,boleto,1,36
287,0e9615b2e47df6cf349b4e458b056289,1,boleto,1,77.57
288,0e9ed1bc6589695f10e03b8eca833201,1,credit_card,3,135.15
289,0ea08b72c67b53b70201a88bf14a417c,1,boleto,1,89.43
290,0ec20050bc3b82afe83aa803bff7ff04,1,credit_card,1,62.33
291,0ec76bccb5366815ac1be29b90db03c7,1,credit_card,2,196.01
292,0ee52d4b00ab65f19b7e89e5683766bf,1,credit_card,4,102.92
293,0ef89e47a5078a9e54a080d5fa8c9109,1,credit_card,10,102.17
294,0efd493233dcc9266a7423754db0079c,1,boleto,1,41.21
295,0f02ea56e4c9e7d30adb19a0c3e07b02,1,boleto,1,86.02
296,0f081161ec11a7986d836cf8e012cd21,1,credit_card,2,150.95
297,0f227f29d1cef44dd442c2fe75d7896c,1,credit_card,1,27.8
298,0f55ec65ad1f38ceeb753846d0684c52,1,credit_card,1,69.24
299,0f6a5e91a0432f84b83844d7b001d765,1,credit_card,5,117.94
300,0f8532e6a9c1e86b215fda5c13f37fad,1,boleto,1,783.12
301,0f881abda9658ce5c28cca333059224a,1,credit_card,1,115.35
302,0f932ea7fd11ef18c60feace8c548366,1,credit_card,5,56.94
303,0f93b20928bc59f8571a39b03ed0c1bb,1,credit_card,1,77.57
304,0f95a7e23723d5388a494f2d812a8332,1,credit_card,1,35.13
305,0f9d568730bf125dbbfed4fc655ff91a,1,credit_card,10,284.71
306,0f9dc92df0635605588c51ec2e4c58a0,1,credit_card,4,133.35
307,0fb09184aa674879c67d933523a4a0bb,1,credit_card,5,98.76
308,0fb3b7bbfc3693b115aa62a83fad2714,1,credit_card,1,656.16
309,0fb89e55ba647de0f63711e93c678237,1,credit_card,1,66.78
310,0fc34e566d3273325c404c113f4a8b2a,1,credit_card,2,205.07
311,0fe61eaf67314ed2f6b045d2365bba42,1,credit_card,1,77.84
312,0fe78862cdfd562448985ee7fbc8a08e,1,credit_card,10,334.8
313,0fe8aad910ff05e73b0ddb0a89e61b21,1,boleto,1,57.37
314,0fe9c7ad9288ff24bb738af81a27ef4d,1,credit_card,2,44.24
315,0fec5b52f7f6c1e7b725c742a8bdf7d4,1,boleto,1,699.84
316,10084ae353466f1c95f62cbacf6168d5,1,boleto,1,125.33
317,100c3a4b273a82310ce16d5524e14450,1,credit_card,2,136.49
318,100ed138d169a3f969afa5449750db73,1,credit_card,6,131.27
319,102dc75f04e28c228169dedb666dcd3e,1,credit_card,2,28
320,103355b1bc5b63508c20e2b7eeb58961,1,credit_card,3,139.81
321,103555765443ee9231d96d107b9f19ae,1,credit_card,4,42.68
322,1043d83f1c9a2f7d84385aa1611d7652,1,credit_card,5,118.53
323,104bc860b4c9a9d28566dfd1093997e0,1,credit_card,1,137.74
324,105a70f8a707fdd43b003271860132bd,1,credit_card,8,83.57
325,105c228ee2f7c9c2a32d22cd2f8c8e69,1,credit_card,10,294.66
326,10670df5f8bf4bf17a02524ee39b5b0b,1,credit_card,2,143.43
327,107478e48c13dc0b39a379510464cd9d,1,credit_card,8,84.24
328,1078cee780187c1672d97d4ebfb4cc2e,1,credit_card,5,89.27
329,10918fe4d665fda80034712895c2b92f,1,credit_card,1,76.18
330,109b43dc12d67a5107cbbfb7fe98d0ae,1,credit_card,6,195.91
331,10b7f107ec36cc780f9ef313a337a7bf,1,debit_card,1,196.99
332,10c320f977c6a18f91b2d14be13128c6,1,credit_card,3,132.26
333,10cba0be7bc27288b512d87a719b97e5,1,credit_card,1,0.22
334,10cba0be7bc27288b512d87a719b97e5,2,voucher,1,23.79
335,10ef04a6021b2bac686ed668485c8c80,1,credit_card,10,249.62
336,10fda92f9390e0b13e41ce5ce692a2cc,1,boleto,1,40.69
337,11077b960f568dd6d5dddae3bdfaa69c,1,credit_card,1,271.43
338,1107e64e1795b6cf551a7044612e8bd8,1,credit_card,4,161.84
339,11210d2ba14b85282d66a4c956724533,1,boleto,1,151.12
340,112f6cd3047e7f158607233e26206398,1,boleto,1,119.89
341,1131444207572a61609f9be4f5308af3,1,credit_card,2,210.92
342,1133f2dfc033ba92bf6c470b20f6f332,1,boleto,1,53.22
343,114b8cdf01e21ff5631995283f233d67,1,credit_card,3,36.78
344,114e12eca60507f3e3153182f258684d,1,boleto,1,161.24
345,116f0b09343b49556bbad5f35bee0cdf,1,credit_card,4,43.09
346,117ce86d1ddbcdf65da3ff7fe763ed09,1,credit_card,4,142.01
347,118045506e1c1dda060171af43fe11b4,1,credit_card,1,360.4
348,11921adcbd013757ba6f287c03929bb4,1,credit_card,8,82.23
349,11bd7edbef6a822b220f48085472871b,1,credit_card,8,81.72
350,11f14d74e7fe63a9a1cc38664bb6f431,1,credit_card,3,242.02
351,11f81f5b3445ad54e4c793afe6337986,1,credit_card,1,89.16
352,120e494a0a23aee36f4d7a635e469172,1,credit_card,5,52.13
353,121bf0ddd1c3d94dd344d3f0e81de607,1,boleto,1,262.1
354,121dd40b10fc0795e5f649ceedab30f9,1,credit_card,1,74.74
355,122113ebabe53addad2976ed1ba7cfe3,1,credit_card,1,86.09
356,122804b6e70597eca700595473d8297b,1,credit_card,3,70.03
357,12307610cd2009ccf90a8a4911bb14a8,1,credit_card,1,309.22
358,1253425c1b76191a5ff742f11d80e1fa,1,boleto,1,65.78
359,12764e11143d316ea2257118daa2e3bc,1,credit_card,1,27.29
360,127db093fee728a76262a027b66556aa,1,credit_card,3,143.58
361,12950f3d9bc12065fc5da141faab5780,1,credit_card,1,103.82
362,129538e4bc7308e9ab041540283813f2,1,credit_card,1,29.95
363,129832042bc2898155b5ebf3b2058585,1,boleto,1,61.38
364,12a545f53715575246beec2da90d6de4,1,credit_card,1,71.14
365,12c086e6bfc59c3a3ec7e77d5d1a6b17,1,credit_card,1,42.77
366,12c35cf2a5171b0fb8e19d60abcb9353,1,credit_card,1,153.5
367,12c8abab1047518ce64899cb2c2966b7,1,credit_card,1,88.18
368,12d5570966b69e36f603e3ff8aac9d4f,1,credit_card,1,72.68
369,12d8f84b2205c7654fdf6768718d243d,1,credit_card,1,74.67
370,130c3f0058347e4d785fa54f3d00d2b4,1,boleto,1,271.63
371,1314353395f7148ba64400eab34bb50c,1,credit_card,10,156.73
372,131bcb82ecd96d251fa7eb8bb1f1baca,1,credit_card,1,375.25
373,13293961429976917597dafca90e49d3,1,boleto,1,62.17
374,1342ab50383d7471a3bfd75ca93d38d6,1,credit_card,1,67.17
375,136cce7faa42fdb2cefd53fdc79a6098,1,credit_card,1,65.95
376,136d768d679a4fc7902e10fc81af17fc,1,credit_card,4,191.14
377,1370fae9b19ee5e01a2d609eb18b7c8a,1,credit_card,8,145.5
378,138849fd84dff2fb4ca70a0a34c4aa1c,1,boleto,1,52.84
379,13bad9a229ea7c04888ada5c6c971c28,1,credit_card,1,33.56
380,13ce532ef1a57ec06218af7cb3634241,1,credit_card,8,85.83
381,13dabdb9dbb49bde13dd90285c2640eb,1,credit_card,1,95.31
382,14001e8cd1c29d0bce5b5bfca73338af,1,credit_card,1,195.91
